class;collection;methods;adicao;remocao;busca;acesso;edicao
InsertClassName;java.util.List;2;1;0;0;1;0
InsertClassName;java.util.Map;0;0;0;0;0;0
org.jext.JextLoader;java.util.Set;0;0;0;0;0;0
org.jext.JextLoader;java.util.List;8;0;0;8;0;0
org.jext.JextLoader;java.util.Map;0;0;0;0;0;0
org.jext.actions.CompleteWord;java.util.Set;6;2;0;3;1;0
org.jext.actions.CompleteWord;java.util.List;0;0;0;0;0;0
org.jext.actions.CompleteWord;java.util.Map;0;0;0;0;0;0
org.jext.options.ColorTable.ColorTableModel;java.util.Set;1;0;0;0;1;0
org.jext.options.ColorTable.ColorTableModel;java.util.List;9;1;0;8;0;0
org.jext.options.ColorTable.ColorTableModel;java.util.Map;0;0;0;0;0;0
org.jext.JextFrame;java.util.Set;0;0;0;0;0;0
org.jext.JextFrame;java.util.List;12;2;3;5;2;0
org.jext.JextFrame;java.util.Map;3;1;0;2;0;0
org.jext.Mode;java.util.Set;0;0;0;0;0;0
org.jext.Mode;java.util.List;1;1;0;0;0;0
org.jext.Mode;java.util.Map;0;0;0;0;0;0
FindAllPlugin;java.util.Set;0;0;0;0;0;0
FindAllPlugin;java.util.List;1;1;0;0;0;0
FindAllPlugin;java.util.Map;0;0;0;0;0;0
com.incors.plaf.FastGradientPaintContext.Gradient;java.util.Set;0;0;0;0;0;0
com.incors.plaf.FastGradientPaintContext.Gradient;java.util.List;0;0;0;0;0;0
com.incors.plaf.FastGradientPaintContext.Gradient;java.util.Map;2;1;0;1;0;0
org.jext.dawn.stack.RollDownFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.stack.RollDownFunction;java.util.List;2;0;0;2;0;0
org.jext.dawn.stack.RollDownFunction;java.util.Map;0;0;0;0;0;0
org.jext.options.StyleTable.StyleTableModel;java.util.Set;1;0;0;0;1;0
org.jext.options.StyleTable.StyleTableModel;java.util.List;9;1;0;8;0;0
org.jext.options.StyleTable.StyleTableModel;java.util.Map;0;0;0;0;0;0
org.jext.search.FindAllDialog;java.util.Set;0;0;0;0;0;0
org.jext.search.FindAllDialog;java.util.List;1;1;0;0;0;0
org.jext.search.FindAllDialog;java.util.Map;0;0;0;0;0;0
gnu.regexp.RETokenOneOf;java.util.Set;0;0;0;0;0;0
gnu.regexp.RETokenOneOf;java.util.List;3;0;0;3;0;0
gnu.regexp.RETokenOneOf;java.util.Map;0;0;0;0;0;0
org.jext.console.ConsoleTextPane.DnDHandler;java.util.Set;0;0;0;0;0;0
org.jext.console.ConsoleTextPane.DnDHandler;java.util.List;1;0;0;0;1;0
org.jext.console.ConsoleTextPane.DnDHandler;java.util.Map;0;0;0;0;0;0
HyperTyperPlugin;java.util.Set;0;0;0;0;0;0
HyperTyperPlugin;java.util.List;0;0;0;0;0;0
HyperTyperPlugin;java.util.Map;0;0;0;0;0;0
org.jext.dawn.stack.RollFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.stack.RollFunction;java.util.List;3;0;0;3;0;0
org.jext.dawn.stack.RollFunction;java.util.Map;0;0;0;0;0;0
org.jext.menus.JextMenuBar;java.util.Set;0;0;0;0;0;0
org.jext.menus.JextMenuBar;java.util.List;0;0;0;0;0;0
org.jext.menus.JextMenuBar;java.util.Map;3;1;0;2;0;0
org.jext.misc.FindAccessory.FindTabs;java.util.Set;0;0;0;0;0;0
org.jext.misc.FindAccessory.FindTabs;java.util.List;2;0;0;2;0;0
org.jext.misc.FindAccessory.FindTabs;java.util.Map;0;0;0;0;0;0
FindInFilesPlugin;java.util.Set;0;0;0;0;0;0
FindInFilesPlugin;java.util.List;1;1;0;0;0;0
FindInFilesPlugin;java.util.Map;0;0;0;0;0;0
org.jext.JextTabbedPane;java.util.Set;0;0;0;0;0;0
org.jext.JextTabbedPane;java.util.List;0;0;0;0;0;0
org.jext.JextTabbedPane;java.util.Map;6;2;2;2;0;0
org.jext.misc.SaveDialog;java.util.Set;0;0;0;0;0;0
org.jext.misc.SaveDialog;java.util.List;6;2;0;3;1;0
org.jext.misc.SaveDialog;java.util.Map;0;0;0;0;0;0
org.jext.console.commands.ChangeDirCommand;java.util.Set;0;0;0;0;0;0
org.jext.console.commands.ChangeDirCommand;java.util.List;0;0;0;0;0;0
org.jext.console.commands.ChangeDirCommand;java.util.Map;1;1;0;0;0;0
org.gjt.sp.jedit.textarea.TextUtilities;java.util.Set;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.TextUtilities;java.util.List;6;1;0;5;0;0
org.gjt.sp.jedit.textarea.TextUtilities;java.util.Map;0;0;0;0;0;0
org.jext.console.HistoryModel;java.util.Set;0;0;0;0;0;0
org.jext.console.HistoryModel;java.util.List;2;0;0;2;0;0
org.jext.console.HistoryModel;java.util.Map;0;0;0;0;0;0
org.jext.gui.SkinManager;java.util.Set;0;0;0;0;0;0
org.jext.gui.SkinManager;java.util.List;0;0;0;0;0;0
org.jext.gui.SkinManager;java.util.Map;3;1;0;2;0;0
org.jext.xinsert.XTree;java.util.Set;0;0;0;0;0;0
org.jext.xinsert.XTree;java.util.List;3;0;0;3;0;0
org.jext.xinsert.XTree;java.util.Map;0;0;0;0;0;0
JSBeautifier;java.util.Set;0;0;0;0;0;0
JSBeautifier;java.util.List;34;0;0;17;17;0
JSBeautifier;java.util.Map;3;3;0;0;0;0
org.jext.misc.Workspaces;java.util.Set;0;0;0;0;0;0
org.jext.misc.Workspaces;java.util.List;12;1;2;9;0;0
org.jext.misc.Workspaces;java.util.Map;0;0;0;0;0;0
org.jext.gui.BundledSkinFactory;java.util.Set;0;0;0;0;0;0
org.jext.gui.BundledSkinFactory;java.util.List;8;7;0;0;1;0
org.jext.gui.BundledSkinFactory;java.util.Map;0;0;0;0;0;0
org.jext.xml.XInsertHandler;java.util.Set;0;0;0;0;0;0
org.jext.xml.XInsertHandler;java.util.List;0;0;0;0;0;0
org.jext.xml.XInsertHandler;java.util.Map;0;0;0;0;0;0
org.jext.xml.XBarHandler;java.util.Set;0;0;0;0;0;0
org.jext.xml.XBarHandler;java.util.List;0;0;0;0;0;0
org.jext.xml.XBarHandler;java.util.Map;0;0;0;0;0;0
org.jext.dawn.util.HelpFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.util.HelpFunction;java.util.List;0;0;0;0;0;0
org.jext.dawn.util.HelpFunction;java.util.Map;1;0;0;1;0;0
org.jext.misc.Workspaces.WorkspacesHandler;java.util.Set;0;0;0;0;0;0
org.jext.misc.Workspaces.WorkspacesHandler;java.util.List;1;0;0;1;0;0
org.jext.misc.Workspaces.WorkspacesHandler;java.util.Map;0;0;0;0;0;0
org.jext.project.AbstractProject;java.util.Set;0;0;0;0;0;0
org.jext.project.AbstractProject;java.util.List;0;0;0;0;0;0
org.jext.project.AbstractProject;java.util.Map;3;1;0;2;0;0
org.jext.gui.FontSelector;java.util.Set;0;0;0;0;0;0
