class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.ext.MatrixExporter;java.util.Set;1;0;0;0;1;0
org.jgrapht.ext.MatrixExporter;java.util.List;1;0;0;1;0;0
org.jgrapht.ext.MatrixExporter;java.util.Map;2;1;0;1;0;0
org.jgrapht.alg.BellmanFordIterator;java.util.Set;2;0;0;0;2;0
org.jgrapht.alg.BellmanFordIterator;java.util.List;6;3;0;2;1;0
org.jgrapht.alg.BellmanFordIterator;java.util.Map;4;2;0;2;0;0
org.jgrapht.alg.BlockCutpointGraph;java.util.Set;20;9;1;5;5;0
org.jgrapht.alg.BlockCutpointGraph;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.BlockCutpointGraph;java.util.Map;7;4;0;3;0;0
org.jgrapht.alg.FloydWarshallShortestPaths;java.util.Set;1;0;0;1;0;0
org.jgrapht.alg.FloydWarshallShortestPaths;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.FloydWarshallShortestPaths;java.util.Map;2;1;0;1;0;0
org.jgrapht.alg.AbstractPathElement;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.AbstractPathElement;java.util.List;1;1;0;0;0;0
org.jgrapht.alg.AbstractPathElement;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.CompleteBipartiteGraphGenerator;java.util.Set;4;2;0;0;2;0
org.jgrapht.generate.CompleteBipartiteGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.CompleteBipartiteGraphGenerator;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.isomorphism.IsomorphismRelation;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.isomorphism.IsomorphismRelation;java.util.List;3;0;0;3;0;0
org.jgrapht.experimental.isomorphism.IsomorphismRelation;java.util.Map;2;2;0;0;0;0
org.jgrapht.graph.MaskEdgeSet.MaskEdgeSetNextElementFunctor;java.util.Set;1;0;0;0;1;0
org.jgrapht.graph.MaskEdgeSet.MaskEdgeSetNextElementFunctor;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.MaskEdgeSet.MaskEdgeSetNextElementFunctor;java.util.Map;0;0;0;0;0;0
org.jgrapht.traverse.TopologicalOrderIterator;java.util.Set;2;0;0;0;2;0
